date,duration
490976677,120
1430789897,180
773404030,180
1389855664,90
833939252,60
56125604,60
1015310233,90
610147677,120
274396838,120
1481638316,180
36104336,60
1283075717,60
789367681,90
170558128,90
85712244,120
812552868,45
189499545,120
803439034,90
646197631,60
240731164,90
1042732160,45
1440786886,60
955350347,120
1046978911,90
23100302,60
222669839,90
603996569,60
460550278,180
538121819,90
1449934401,180
594602964,60
1338632660,180
96692233,45
1524211290,45
1025909111,60
469083390,180
781128756,90
40202175,90
501610246,90
924045328,60
394536319,90
1020696372,90
1032206511,45
831162597,180
425814545,90
1017470375,45
883507226,45
687038974,180
1140064789,45
197790333,90
434776460,45
395499145,60
1197069326,120
1072833464,90
20360326,180
1429065518,180
330682800,45
837208551,45
1147156649,120
879447195,90
1056488366,90
204584786,180
1304653013,180
1427534412,45
1195915190,60
1468840935,120
36440586,45
66037672,90
643642252,180
1373970006,60
1322316573,60
1418980722,120
1101250780,60
363053450,60
209099675,120
200568649,60
1534681486,90
1489992044,45
1081655487,60
1157277717,60
983032833,180
286490504,45
866773075,60
1128876166,90
1006895149,120
282043465,120
489412753,60
869188432,90
331822225,180
998792597,120
1201247076,60
1237754225,60
926166270,60
881857792,45
275029136,45
965428351,180
640991903,180
291766177,60
258708136,180
464994459,120
454840106,180
980369200,45
1188717554,120
1473642955,120
821303935,60
221844091,90
99425125,120
72668984,60
6168051,180
430453638,90
192662805,45
1491196652,90
54052895,120
1390819392,60
1531168287,90
755105818,120
1102165610,120
782327787,180
730016749,180
147767314,60
443367843,45
559348961,90
862548010,90
908581580,60
615673159,60
820951350,90
444683624,120
1272594187,60
627985617,60
663548084,180
1361828696,180
289379201,120
31010417,90
431723135,120
688791398,90
915040727,120
196667921,45
1517168167,60
868687440,120
752408233,60
1326399991,90
646771200,90
841477815,120
791022419,45
939940745,90
106975358,60
287013377,60
1388548577,60
686261521,60
348954302,60
1424859921,180
1441509887,180
978517952,45
337483952,45
1101651934,120
886638317,60
223620919,180
800250795,60
51005422,60
475637429,120
1061481397,60
149602298,60
1387442699,60
1241124733,60
1528333498,180
1156693366,90
1108898963,180
1361471338,180
1536020829,180
1511651410,60
894531622,90
1515846954,90
877459206,45
44050295,120
429894519,120
1506701369,60
1336430689,180
1540777699,45
1325621035,180
994853109,60
196911257,60
1354153325,120
768286051,60
80245662,120
1040202310,180
865669783,45
1325351549,90
1278415853,180
1543869283,180
375160342,120
698206072,60
508484784,180
693849188,60
164969579,45
1340384155,180
1163763355,60
1516762516,90
945717673,60
145705918,90
1067592086,90
1492522865,120
899766151,60
980651097,90
932337169,90
971571829,45
1113813261,45
1025880127,90
1540018347,45
488643321,45
1429729792,60
731701882,120
1265826395,90
990149024,60
710713031,120
126341698,90
821651055,90
542513087,90
1096869571,45
316814495,90
26964742,90
439134327,120
942310687,180
718615246,60
327353090,90
1252772579,60
1276997936,45
226580128,60
770453521,45
16076325,180
1456298929,90
405065749,60
792593959,90
8934084,60
1063962213,60
1383471680,90
768641479,45
854257564,60
471574271,90
551513802,60
318871266,120
747603004,60
909492687,60
680631723,60
1202552385,90
1246042472,45
1361497320,45
1493609885,180
80712406,180
1017714839,60
906845660,90
446576560,180
1186559939,90
264380006,180
96483848,180
817032581,90
952515932,90
1508151111,45
678830449,60
1240382879,60
429528684,60
1236271037,120
1012785884,90
951514334,60
199074669,90
1142056649,45
80808125,90
352071836,120
834654537,90
463498620,120
682848800,180
925992139,180
463227415,120
907450175,45
942778878,120
449631545,180
400683486,120
1373071173,120
159322159,45
715534196,90
42189126,45
254882244,60
148614113,45
328738523,45
963163765,180
818343864,60
412794304,90
28440159,180
1382296610,45
359005344,45
357710652,45
80124821,60
1217203780,120
1326055884,120
110286593,120
767052173,60
576722179,60
1199338780,45
109790584,180
833262166,90
543815520,60
229989536,180
846808973,60
1176233550,180
562832319,120
399106434,45
946899662,45
709073521,60
404623089,60
1418934060,120
1464525659,120
1377880657,45
19613530,45
1447721844,45
256405272,120
80171802,180
901166297,120
181866124,120
770935496,180
153166515,120
1284888220,60
1528496939,120
48417405,60
1301689171,45
6931135,90
74423450,60
514935336,180
493889179,180
349764467,180
755321260,60
618768948,120
465703928,45
277616336,180
312020765,90
3606480,180
677902532,180
16895943,180
1098802638,45
352977652,60
1516274433,90
1471074902,60
255119149,90
197669529,120
93693112,45
626328114,180
907520012,60
829062078,120
952252770,120
93480937,90
585533188,120
1259723246,45
1312891262,45
355593922,60
515137782,45
289614269,180
134103054,120
843041600,90
466015128,60
426014158,60
186366684,120
680467947,120
37433370,180
725880069,180
879306686,60
1169371407,90
1459867250,60
1020322578,45
727325905,60
1061005521,60
751306020,120
585871374,120
10965449,180
308774460,90
490188612,180
966726798,120
174864756,45
278246234,180
470208058,180
282766997,90
31424118,90
82693890,90
819600835,180
1430660675,120
183900769,90
575373928,120
552315241,180
551128723,45
845260662,60
1156629457,90
1150796889,180
1331380881,120
1122516564,90
490517834,120
1524102846,90
1457103536,90
826731773,120
847775097,45
246254872,45
224526663,60
175472462,45
613771308,90
968072060,60
719317790,90
994769572,60
1360839018,180
732020458,90
194261800,90
629684029,180
1470172256,180
1297743977,90
1220385064,60
132183653,180
1151946111,180
52278675,90
233116825,180
359368279,180
327549310,45
329844735,180
877268840,60
1046083277,45
398765408,60
1270878298,45
897216923,90
402053563,120
1233516483,60
808022664,45
1019388869,180
683647450,120
464899164,180
760471850,60
960414632,60
538901194,60
796125255,45
1273740558,90
1022085301,120
245135882,120
1046321908,90
105579912,90
831680639,45
1120608807,60
1295277189,60
670748944,180
1426767157,60
81502044,180
971987042,120
943077493,45
447183604,120
344694915,90
164961099,180
1080446557,120
688385802,90
1473637643,180
808710134,120
520096197,60
71430376,60
1113563436,120
1226130383,120
118537344,45
949144016,45
1402370222,45
1466764021,90
741968413,90
529928077,60
1197340692,120
44221562,180
526784698,120
1173576659,90
188894442,45
1468822835,45
66203962,90
130559473,60
1089304390,120
93461625,45
303454313,60
830496386,120
795171455,120
726199488,120
1293858588,90
352425544,90
627407607,180
809144988,45
1434429799,180
1269361507,45
217183145,60
1019559365,180
1494077764,120
286941617,180
1055039263,120
1330405351,180
418384517,180
635408611,120
486786233,120
624955222,60
1215183097,60
700648837,90
757565660,60
398891960,180
